GKODE,GKODN
2612609.799,1181820.121
2620654.199,1189638.87
2609822.921,1197277.45
2627637.658,1191159.493
2604148.237,1197165.835
2610800.732,1192117.319
2592820.576,1225291.551
2593579.471,1192694.624
2585354.045,1215764.967
2614264.906,1173959.023
2608380.141,1170919.474
2570720.923,1205502.457
2610587.266,1212535.488
2613598.803,1185866.446
2609049.159,1200433.565
2635663.976,1200736.323
2598926.001,1224128.063
2627246.821,1210379.763
2622043.179,1160003.18
2618576.671,1174961.677
2582145.142,1230424.457
2619758.122,1204481.745
2609765.236,1191463.238
2602907.381,1194200.728
2603033.973,1189058.332
2598796.896,1198483.937
2607669.278,1147686.856
2604691.253,1192925.022
2617945.602,1201238.753
2609401.279,1166430.275
2617743.444,1227345.304
2597809.0,1202729.0
2587243.375,1216351.353
2615207.783,1178553.662
2661021.775,1177868.922
2635450.248,1172971.837
2599419.69,1198597.707
2631347.232,1214806.998
2599055.6,1198840.871
2624733.595,1233238.726
2597263.617,1150950.708
2626596.745,1228245.709
2623459.484,1196029.064
2587732.727,1219189.585
2594417.716,1213429.617
2593251.819,1185263.018
2614877.732,1159236.857
2605024.46,1162867.494
2625229.461,1232043.109
2619693.934,1192108.176
2615605.854,1181347.32
2628894.637,1231961.146
2623095.92,1208231.88
2575310.002,1208856.924
2613905.342,1177203.653
2616236.197,1159892.769
2615473.782,1173155.345
2615613.153,1158231.592
2618083.537,1230903.091
2610557.158,1214981.863
2613905.286,1210615.158
2594943.029,1236448.161
2614467.797,1211437.331
2602342.859,1200064.917
2620342.261,1173522.47
2583734.866,1212010.327
2580324.205,1217159.107
2595366.597,1214882.348
2632248.33,1169553.612
2581958.973,1213793.811
2616175.0,1159352.0
2611548.305,1187938.696
2615922.627,1173073.184
2597302.412,1181085.772
2615169.277,1181170.248
2609594.226,1166202.015
2626258.869,1227367.578
2584436.777,1221947.984
2615330.963,1173456.217
2604317.048,1202525.109
2588189.923,1204916.366
2611427.164,1215416.036
2578681.4,1229801.582
2592346.473,1217036.707
2614918.715,1195076.513
