xtf_id,Address,PostCode,Municipality,Canton,BeginningOfOperation,InitialPower,TotalPower,MainCategory,SubCategory,PlantCategory,_x,_y
100442,Dorzematt 16,3313,Büren zum Hof,BE,2015-11-14,13.33,13.33,maincat_2,subcat_2,plantcat_9,2605771,1215864
100346,Bergblick 200,3635,Uebeschi,BE,2016-04-28,10.54,10.54,maincat_2,subcat_2,plantcat_9,2608893,1176232
100320,Sodmattweg 69 (Parz. 6707),3700,Spiez,BE,2015-12-14,9.57,9.57,maincat_2,subcat_2,plantcat_8,2618602,1171033
100359,Sonnhaldestrasse 33,4912,Aarwangen,BE,2015-11-07,15.98,15.98,maincat_2,subcat_2,plantcat_9,2624878,1231370
102406,Fuchsbälleweg 12 (Parz. 4696),3400,Burgdorf,BE,2015-12-10,11.55,11.55,maincat_2,subcat_2,plantcat_8,2613504,1210856
100404,Hubelweg 1,3046,Wahlendorf,BE,2015-11-05,17.39,17.39,maincat_2,subcat_2,plantcat_9,2592317,1206272
100374,Karl Spittelerweg 25,2543,Lengnau,BE,2015-12-10,4.59,9.23,maincat_2,subcat_2,plantcat_8,2594752,1225085
100980,Waldheimstrasse 26,3604,Thun,BE,2016-03-09,13.72,13.72,maincat_2,subcat_2,plantcat_8,2614175,1177058
101793,Kirchrain 13,3232,Ins,BE,2015-11-05,6.29,6.29,maincat_2,subcat_2,plantcat_9,2574493,1206315
100393,Tägertschistrasse 19,3110,Münsingen,BE,2016-12-07,29.64,29.64,maincat_2,subcat_2,plantcat_8,2609829,1191603
100390,Tägertschistrasse 21,3110,Münsingen,BE,2016-10-24,28.08,28.08,maincat_2,subcat_2,plantcat_8,2609809,1191645
100397,Tägertschistrasse 23,3110,Münsingen,BE,2016-08-16,28.08,28.08,maincat_2,subcat_2,plantcat_8,2609832,1191678
100395,Tägertschistrasse 25,3110,Münsingen,BE,2016-10-24,29.64,29.64,maincat_2,subcat_2,plantcat_8,2609852,1191641
100394,Tägertschistrasse 27,3110,Münsingen,BE,2017-02-15,29.64,29.64,maincat_2,subcat_2,plantcat_8,2609867,1191602
102712,Haltenstrasse 273,3145,Niederscherli,BE,2015-09-17,7.29,7.29,maincat_2,subcat_2,plantcat_8,2597977,1192420
100556,Postgässli 19,3045,Meikirch,BE,2015-12-22,8.96,8.96,maincat_2,subcat_2,plantcat_9,2594495,1206374
101279,Holestrasse 8a,3294,Büren an der Aare,BE,2016-01-08,5.83,11.43,maincat_2,subcat_2,plantcat_8,2595724,1221309
101294,Holestrasse 12,3294,Büren an der Aare,BE,2015-11-27,5.36,5.36,maincat_2,subcat_2,plantcat_8,2595737,1221355
101338,Hiltystrasse 32,3006,Bern,BE,2016-02-11,7.35,7.35,maincat_2,subcat_2,plantcat_9,2602782,1198121
100589,Pfaffenbach 402,3551,Oberfrittenbach,BE,2016-04-29,5.4,5.4,maincat_2,subcat_2,plantcat_9,2625849,1200078
100808,Oeschbergstrasse 20,3425,Koppigen,BE,2015-11-09,9.35,9.35,maincat_2,subcat_2,plantcat_8,2612890,1219812
100546,Burgerstrasse 38,3065,Bolligen,BE,2015-11-13,5.04,5.04,maincat_2,subcat_2,plantcat_8,2603912,1202538
100684,Guinandstrasse 24,2555,Brügg,BE,2016-01-16,6.96,6.96,maincat_2,subcat_2,plantcat_8,2587947,1219485
101062,Hubelweg 24,3360,Herzogenbuchsee,BE,2015-12-18,9.54,9.54,maincat_2,subcat_2,plantcat_8,2620679,1226813
101191,Wildhainweg 9,3012,Bern,BE,2016-03-29,54.59,54.59,maincat_2,subcat_2,plantcat_8,2599536,1199875
100800,St. Jodelweg 6A,3232,Ins,BE,2016-03-23,8.8,8.8,maincat_2,subcat_2,plantcat_8,2574490,1206551
100798,St. Jodelweg 6B,3232,Ins,BE,2016-03-23,8.8,8.8,maincat_2,subcat_2,plantcat_8,2574502,1206566
100794,St. Jodelweg 6C,3232,Ins,BE,2016-03-23,8.8,8.8,maincat_2,subcat_2,plantcat_8,2574514,1206581
100720,Magdalenaweg 50,3052,Zollikofen ,BE,2015-12-01,8.48,8.48,maincat_2,subcat_2,plantcat_8,2600598,1205622
100674,Emmentalstrasse 15,3400,Burgdorf,BE,2015-12-11,24.91,24.91,maincat_2,subcat_2,plantcat_9,2614234,1211520
100748,Nagelfluh 595,3758,Latterbach,BE,2015-12-10,6.66,6.66,maincat_2,subcat_2,plantcat_9,2611937,1168534
100726,Hinteres Gässli 2,3702,Hondrich,BE,2015-11-26,3.96,8.88,maincat_2,subcat_2,plantcat_8,2618771,1169029
100548,Lehn 270,3661,Uetendorf,BE,2015-12-19,8.7,8.7,maincat_2,subcat_2,plantcat_9,2609442,1180978
