x,y
2597099,1192693
2595662,1192247
2596039,1192240
2595989,1192213
2593431,1193426
2593465,1193471
2593413,1194367
2593547,1192490
2595077,1191920
2595452,1190233
2594578,1191355
2594385,1191374
2594401,1191539
2594298,1191805
2600969,1197317
2596104,1192592
2599395,1197838
2593566,1193428
2597692,1197036
2594555,1191509
2601512,1197797
2598634,1197476
2597958,1197669
2601147,1197536
2594401,1191824
2600263,1197333
2597921,1196987
2597986,1192504
2601438,1197030
2601345,1197165
2601355,1197127
2594262,1192182
2594375,1191322
2597871,1196285
2594368,1192587
2597627,1197558
2600250,1197141
2594536,1191689
2600685,1197563
2594104,1191484
2595437,1196058
2597652,1197421
2594560,1191563
2594632,1196990
2594086,1195098
2594054,1195107
2597928,1192412
2594395,1191879
2595279,1190870
2597849,1196274
2595749,1192543
2598077,1192436
2597031,1192575
2596577,1192741
2596633,1192751
2596625,1192678
2596751,1192759
2596538,1192646
2596675,1192716
2601658,1197804
2603042,1197942
2602856,1197936
2602760,1197827
2603123,1197592
2602954,1197642
2602788,1197407
2603248,1197537
2603368,1197610
2603606,1197399
2603603,1197489
2603978,1197465
2604002,1197434
2604053,1197314
2604196,1197319
2604302,1197333
2604409,1197141
2604391,1196936
2604358,1196879
2604441,1196873
2604669,1196734
2604157,1197447
2604641,1197299
2604440,1197332
2604265,1197805
2604492,1198352
2604452,1198366
2604370,1198388
2604471,1198429
2604514,1198392
2604493,1198506
2604332,1198906
2604630,1198702
2604761,1197722
2604806,1197688
2604759,1197758
2605544,1197662
2605641,1197622
2605682,1197620
2605617,1197546
2605587,1197485
2605533,1197369
2605202,1198240
2605299,1198159
2605130,1198338
2605307,1198583
2605323,1198580
2605280,1198539
2605336,1198487
2605168,1198521
2605273,1198505
2605337,1198316
2605486,1198237
2605664,1198466
2605715,1198315
2606100,1197906
2605493,1198435
2603528,1197428
2604814,1198243
2604383,1197441
2602941,1197479
2605474,1198461
2603740,1197361
2604850,1198083
2604824,1197825
2604172,1197325
2605814,1197887
2602769,1198084
2604100,1197172
2604014,1197244
2604409,1197043
2604410,1197951
2602666,1197637
2603174,1198085
2604302,1197273
2604575,1198866
2605803,1198277
2602818,1197926
2604338,1197845
2605677,1197989
2597261,1191207
2597371,1191440
2598063,1190915
2598808,1190755
2597422,1189225
2596509,1190032
2596307,1191908
2596585,1191026
2597239,1191538
2597520,1191387
2598209,1189025
2597141,1191446
2596127,1192279
2607101,1200771
2606821,1200901
2607055,1200894
2607204,1200681
2607169,1200669
2606626,1200582
2607163,1200748
2606864,1201030
2606839,1201088
2607122,1200971
2607008,1200841
2607218,1201006
2606746,1201172
2606704,1201092
2607239,1201226
2606584,1201122
2606585,1201200
2606516,1201006
2606374,1201082
2605977,1201296
2607126,1200769
2607017,1200902
2607070,1200859
2606978,1200916
2607149,1200909
2607156,1200840
2607162,1200841
2607095,1200830
2605676,1201654
2608273,1200950
2608134,1200918
2608132,1200878
2608107,1200797
2607903,1200795
2607841,1200860
2607392,1200978
2607498,1200977
2607742,1200903
2607780,1200899
2607846,1200071
2608552,1200241
2608671,1200148
2608759,1199980
2609128,1199677
2609247,1199553
2609449,1200415
2609161,1200419
